Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MonthName,IsDelayed,DelayCategory,SpeedMph,TotalGround
2024,2,15,4,2024-02-15,AA,CLT,"Charlotte, NC",NC,MCO,"Orlando, FL",FL,-7.0,0.0,0.0,15.0,12.0,-9.0,0.0,0.0,0.0,,0.0,100.0,98.0,71.0,468.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,395.49,27.0
2024,3,16,6,2024-03-16,WN,FLL,"Fort Lauderdale, FL",FL,BWI,"Baltimore, MD",MD,14.0,14.0,0.0,24.0,3.0,8.0,8.0,0.0,0.0,,0.0,155.0,149.0,122.0,925.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,454.92,27.0
2024,4,9,2,2024-04-09,DL,LGA,"New York, NY",NY,ORD,"Chicago, IL",IL,16.0,16.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,,0.0,170.0,154.0,130.0,733.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,338.31,24.0
2024,4,15,1,2024-04-15,OO,STS,"Santa Rosa, CA",CA,SNA,"Santa Ana, CA",CA,7.0,7.0,0.0,25.0,5.0,18.0,18.0,1.0,0.0,,0.0,88.0,99.0,69.0,433.0,2,7.0,0.0,11.0,0.0,0.0,February,1,Moderate Delay,376.52,30.0
2024,1,18,4,2024-01-18,UA,LGA,"New York, NY",NY,IAH,"Houston, TX",TX,-7.0,0.0,0.0,16.0,4.0,-20.0,0.0,0.0,0.0,,0.0,255.0,242.0,222.0,1416.0,6,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,382.7,20.0
2024,2,3,6,2024-02-03,MQ,ORD,"Chicago, IL",IL,CMI,"Champaign/Urbana, IL",IL,-2.0,0.0,0.0,20.0,3.0,-13.0,0.0,0.0,0.0,,0.0,59.0,48.0,25.0,135.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,324.0,23.0
2024,3,29,5,2024-03-29,OH,DFW,"Dallas/Fort Worth, TX",TX,JAN,"Jackson/Vicksburg, MS",MS,-5.0,0.0,0.0,16.0,6.0,-18.0,0.0,0.0,0.0,,0.0,87.0,74.0,52.0,408.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,470.77,22.0
2024,3,3,7,2024-03-03,WN,HOU,"Houston, TX",TX,LAS,"Las Vegas, NV",NV,57.0,57.0,1.0,8.0,5.0,51.0,51.0,1.0,0.0,,0.0,200.0,194.0,181.0,1235.0,5,0.0,0.0,51.0,0.0,0.0,February,1,Moderate Delay,409.39,13.0
2024,4,3,3,2024-04-03,AA,STL,"St. Louis, MO",MO,CLT,"Charlotte, NC",NC,-10.0,0.0,0.0,9.0,12.0,-24.0,0.0,0.0,0.0,,0.0,110.0,96.0,75.0,575.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,460.0,21.0
2024,1,2,2,2024-01-02,OO,ORD,"Chicago, IL",IL,DTW,"Detroit, MI",MI,-2.0,0.0,0.0,12.0,9.0,-17.0,0.0,0.0,0.0,,0.0,83.0,68.0,47.0,235.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,300.0,21.0
2024,4,29,1,2024-04-29,OO,DTW,"Detroit, MI",MI,PLN,"Pellston, MI",MI,213.0,213.0,1.0,16.0,5.0,202.0,202.0,1.0,0.0,,0.0,70.0,59.0,38.0,243.0,1,0.0,202.0,0.0,0.0,0.0,February,1,Severe Delay,383.68,21.0
2024,2,21,3,2024-02-21,UA,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,-12.0,0.0,0.0,16.0,7.0,-10.0,0.0,0.0,0.0,,0.0,92.0,94.0,71.0,370.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,312.68,23.0
2024,4,16,2,2024-04-16,AA,TPA,"Tampa, FL",FL,CLT,"Charlotte, NC",NC,0.0,0.0,0.0,9.0,11.0,-9.0,0.0,0.0,0.0,,0.0,109.0,100.0,80.0,507.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,380.25,20.0
2024,3,1,5,2024-03-01,OO,GPT,"Gulfport/Biloxi, MS",MS,DFW,"Dallas/Fort Worth, TX",TX,-9.0,0.0,0.0,11.0,9.0,-25.0,0.0,0.0,0.0,,0.0,117.0,101.0,81.0,500.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,370.37,20.0
2024,3,27,3,2024-03-27,WN,CHS,"Charleston, SC",SC,HOU,"Houston, TX",TX,1.0,1.0,0.0,16.0,3.0,7.0,7.0,0.0,0.0,,0.0,170.0,176.0,157.0,928.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,354.65,19.0
2024,2,25,7,2024-02-25,WN,SMF,"Sacramento, CA",CA,AUS,"Austin, TX",TX,-3.0,0.0,0.0,16.0,4.0,-17.0,0.0,0.0,0.0,,0.0,195.0,181.0,161.0,1481.0,6,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,551.93,20.0
2024,3,11,1,2024-03-11,AA,PHX,"Phoenix, AZ",AZ,OMA,"Omaha, NE",NE,65.0,65.0,1.0,12.0,5.0,42.0,42.0,1.0,0.0,,0.0,162.0,139.0,122.0,1037.0,5,0.0,0.0,0.0,0.0,42.0,February,1,Moderate Delay,510.0,17.0
2024,2,8,4,2024-02-08,OO,PHX,"Phoenix, AZ",AZ,ELP,"El Paso, TX",TX,-3.0,0.0,0.0,15.0,4.0,-13.0,0.0,0.0,0.0,,0.0,81.0,71.0,52.0,347.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,400.38,19.0
2024,2,26,1,2024-02-26,YX,GSO,"Greensboro/High Point, NC",NC,LGA,"New York, NY",NY,-5.0,0.0,0.0,12.0,11.0,-17.0,0.0,0.0,0.0,,0.0,106.0,94.0,71.0,461.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,389.58,23.0
2024,4,15,1,2024-04-15,9E,JFK,"New York, NY",NY,AGS,"Augusta, GA",GA,-9.0,0.0,0.0,18.0,9.0,-23.0,0.0,0.0,0.0,,0.0,135.0,121.0,94.0,675.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,430.85,27.0
2024,3,24,7,2024-03-24,AS,SEA,"Seattle, WA",WA,IAD,"Washington, DC",VA,-6.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,,0.0,291.0,297.0,273.0,2306.0,10,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,506.81,24.0
